,Created_at,Ids,Text
0,Sat Mar 20 14:56:07 +0000 2021,1373287241250791427,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
1,Sat Mar 20 14:56:12 +0000 2021,1373287261228335106,RT @BCCI: An incredible knock from Hitman Rohit Sharma (64) comes to an end. He has provided a terrific platform for #TeamIndia. 👏🏾https:…
2,Sat Mar 20 14:56:12 +0000 2021,1373287263954563074,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
3,Sat Mar 20 14:56:13 +0000 2021,1373287265347072002,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
4,Sat Mar 20 14:56:13 +0000 2021,1373287266429202436,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
5,Sat Mar 20 14:56:14 +0000 2021,1373287270153809923,"RT @BCCI: When #TeamIndia Captain and Vice-Captain walked out to open the innings, we expected plenty of fireworks and that is exactly what…"
6,Sat Mar 20 14:56:14 +0000 2021,1373287271944781830,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
7,Sat Mar 20 14:56:15 +0000 2021,1373287273664376835,"RT @BCCI: 5th T20I. 16.3: C Jordan to H Pandya (21), 4 runs, 177/2 https://t.co/esxKh1ABfR #INDvENG @Paytm"
8,Sat Mar 20 14:56:15 +0000 2021,1373287274088067078,"RT @BCCI: 5th T20I. 16.3: C Jordan to H Pandya (21), 4 runs, 177/2 https://t.co/esxKh1ABfR #INDvENG @Paytm"
9,Sat Mar 20 14:56:19 +0000 2021,1373287292375236608,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
10,Sat Mar 20 14:56:21 +0000 2021,1373287298712801280,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
11,Sat Mar 20 14:56:21 +0000 2021,1373287300411453441,RT @BCCI: It needed a special effort in the field to stop a rampaging @surya_14kumar. Jordan takes a one-handed stunner and relays it to Ro…
12,Sat Mar 20 14:56:23 +0000 2021,1373287308833681415,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
13,Sat Mar 20 14:56:24 +0000 2021,1373287313552273414,RT @BCCI: It needed a special effort in the field to stop a rampaging @surya_14kumar. Jordan takes a one-handed stunner and relays it to Ro…
14,Sat Mar 20 14:56:25 +0000 2021,1373287316878286858,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
15,Sat Mar 20 14:56:26 +0000 2021,1373287320640573447,"RT @BCCI: 5th T20I. 16.3: C Jordan to H Pandya (21), 4 runs, 177/2 https://t.co/esxKh1ABfR #INDvENG @Paytm"
16,Sat Mar 20 14:56:26 +0000 2021,1373287322402263050,"RT @BCCI: 5th T20I. 15.5: M Wood to H Pandya (15), 4 runs, 170/2 https://t.co/esxKh1ABfR #INDvENG @Paytm"
17,Sat Mar 20 14:56:27 +0000 2021,1373287324079943684,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
18,Sat Mar 20 14:56:27 +0000 2021,1373287324398747648,RT @BCCI: The effort that ended SKY's enterprising run! https://t.co/esxKh1iZRh #INDvENG @Paytm https://t.co/KwRZjHhapi
19,Sat Mar 20 14:56:27 +0000 2021,1373287327242539011,RT @BCCI: The effort that ended SKY's enterprising run! https://t.co/esxKh1iZRh #INDvENG @Paytm https://t.co/KwRZjHhapi
20,Sat Mar 20 14:56:28 +0000 2021,1373287328060338180,"RT @BCCI: 5th T20I. 16.3: C Jordan to H Pandya (21), 4 runs, 177/2 https://t.co/esxKh1ABfR #INDvENG @Paytm"
21,Sat Mar 20 14:56:28 +0000 2021,1373287330606239744,RT @BCCI: An incredible knock from Hitman Rohit Sharma (64) comes to an end. He has provided a terrific platform for #TeamIndia. 👏🏾https:…
22,Sat Mar 20 14:56:28 +0000 2021,1373287331147358215,RT @BCCI: An incredible knock from Hitman Rohit Sharma (64) comes to an end. He has provided a terrific platform for #TeamIndia. 👏🏾https:…
23,Sat Mar 20 14:56:30 +0000 2021,1373287336587493376,RT @BCCI: It needed a special effort in the field to stop a rampaging @surya_14kumar. Jordan takes a one-handed stunner and relays it to Ro…
24,Sat Mar 20 14:56:30 +0000 2021,1373287339691102210,RT @BCCI: An incredible knock from Hitman Rohit Sharma (64) comes to an end. He has provided a terrific platform for #TeamIndia. 👏🏾https:…
25,Sat Mar 20 14:56:32 +0000 2021,1373287347068964865,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
26,Sat Mar 20 14:56:32 +0000 2021,1373287348008579079,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
27,Sat Mar 20 14:56:33 +0000 2021,1373287350084673550,RT @BCCI: An incredible knock from Hitman Rohit Sharma (64) comes to an end. He has provided a terrific platform for #TeamIndia. 👏🏾https:…
28,Sat Mar 20 14:56:33 +0000 2021,1373287352068567041,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
29,Sat Mar 20 14:56:33 +0000 2021,1373287352408317953,RT @BCCI: KING KOHLI 👑@imVkohli  decided to open the innings today and he responds with a fabulous 50 off just 36 balls. Played skip! 👌🔥…
