Ids,Created_at,Text
1.37E+18,Sat Mar 20 11:51:42 +0000 2021,Yesterday India produced the first instance of 5 players starting with a first-ball boundary in a T20I innings.Roh… https://t.co/pbGmoNYVWF
1.37E+18,Sat Mar 20 12:45:57 +0000 2021,15 minutes to go for the toss! 🤩What do you think we should pick if the flip of the coin goes our way? 🤔… https://t.co/Xgy4QBV7Iv
1.37E+18,Sat Mar 20 12:47:29 +0000 2021,Not too long until toss ⏳Should 🇮🇳 chase or defend tonight?#INDvENG #OrangeArmy #KeepRising
1.37E+18,Sat Mar 20 12:47:55 +0000 2021,Virat Kohli is ready for toss. 🤞 #INDvENG https://t.co/X289aNlJPD
1.37E+18,Sat Mar 20 12:47:59 +0000 2021,15 minutes to go for the toss!Who is winning toss?#TeamIndia #INDvENG
1.37E+18,Sat Mar 20 12:49:40 +0000 2021,If india wants to win this game and series  thn it must play this team with same batting order Rohit Ishan(WK)S… https://t.co/fcB74B1Ghr
1.37E+18,Sat Mar 20 12:50:28 +0000 2021,"#INDvENG #INDvsENG | 5th T20IT20 heavyweights India, England battle for supremacy in deciderToss coming up in 1… https://t.co/hQcmPGCuXS"
1.37E+18,Sat Mar 20 12:52:42 +0000 2021,ENGLAND TO WIN THE TOSS WHILE INDIA WINNING THE MATCH AS WELL ASWORLD CUP TROPHY TOO#INDvENG https://t.co/gx8xOnnniJ
1.37E+18,Sat Mar 20 12:54:07 +0000 2021,@FlashCric team that wins the toss wins the game today. #INDvENG
1.37E+18,Sat Mar 20 12:55:01 +0000 2021,"5 minutes to the toss, 20 minutes till go time as we bid farewell for now to the #ModiDome.Will India keep faith… https://t.co/xuFIYyfSGv"
1.37E+18,Sat Mar 20 12:55:36 +0000 2021,India Will Win The Toss &amp; Elected To Bowl First #INDvENG
1.37E+18,Sat Mar 20 12:55:36 +0000 2021,Captain won the toss &amp; elect to Bat first/bowl first 🤔👀#INDvENG #INDvsENG #IndiavsEngland #INDvEND #ViratKohli… https://t.co/CUeyUJwHme
1.37E+18,Sat Mar 20 12:55:56 +0000 2021,Eng won the toss &amp; choose to bowl#INDVENG
1.37E+18,Sat Mar 20 12:56:13 +0000 2021,Prediction Time..India will win the Toss and decided to bowl 😌❤️#INDvENG #T20I
1.37E+18,Sat Mar 20 12:56:29 +0000 2021,Hope kohli win toss and do what he wants to do #INDvENG it will be good smashing England with our second string team
1.37E+18,Sat Mar 20 12:56:30 +0000 2021,Eng winning the toss. #INDvENG
